Date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLDM,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
2018-10-03,8128.96356806576,198.555126720575,471.609145683794,1733.66912547335,3689.2645444202,421.652722051669,214.392350241971,1551.32322146756,306.375816081027,1469.31972819015,701.446186594803,368.997604593273,83.8607650547378,29.437563820712,3418.28809212773,1686.46643862154,2.93903783377793,434.101169295691,1295.72463768873,1027.34028786987,1.30762404431873,68.5898718950961,3957.42306363622,5.93900780560442,367.244010297298,601.675095406152,2410.84210658192,718.159862789789,1232.38426740354,3636.32587784045,284.947905581208,1138.173611523,16.1127596358051,45.0141238898777,35.6238726525864,5.77611294603882,1521.39461532765,927.335949937382,280.737134798925,5360.16129995455,53.7278461891531,1.0213015318337,62.1672105044561,387.200738079708,41.5877983391415,213.215123626905,216.721436413502,284.946192786329,50.0048401279716
2018-10-04,8088.31875022543,196.926974681466,465.714031362747,1735.05606077373,3701.43911741679,417.647021192178,212.784407615156,1553.49507397762,300.983601718001,1461.53233363074,690.503626083925,359.29296759247,82.3177269777306,28.9489002612882,3377.95229264062,1676.34763998981,2.91052916679029,436.141444791381,1298.05694203657,998.780227867092,1.3042242218035,68.884808344245,3923.38922528895,5.90277985799023,361.257932929452,601.554760387071,2373.71513814055,712.199135928634,1232.2610289768,3566.14478839813,279.875832861862,1128.49913582505,16.2271602292193,44.7080278474265,35.0752650137365,5.63113251109324,1499.18225394386,912.220373953402,281.775862197681,5428.77136459397,53.6203904967748,0.999037158439724,61.6823062625213,387.820259260635,40.1904483149464,212.426227669485,216.483042833448,285.915009841803,49.6448052790502
2018-10-05,8021.18570459856,195.745412833378,453.465752337906,1723.08417395439,3701.80926132853,412.175845214561,211.933269984695,1545.57224910033,299.96025747216,1446.62470382771,677.038805375288,358.035442205896,81.7744299796776,29.3136564045804,3374.23654511872,1644.32940006601,2.87181912887197,433.568210267112,1306.10489507719,972.612185896974,1.31009323080161,68.4577225325107,3859.43798091674,5.88448124043046,362.305580934948,601.253983006878,2343.09421285854,701.729808630483,1233.00038559419,3554.01989611758,275.92958361851,1127.59633651639,16.3293913386634,44.6320242000859,35.1945209147832,5.53258769214911,1483.89059495363,905.834831335729,282.677544956713,5450.48645005234,53.6418386529735,0.991444476035583,60.8557633586035,383.942056668029,40.1542769114629,210.450663752159,212.954369235262,289.488947464825,49.5604091100758
2018-10-08,8029.20689030316,196.391372695728,452.921593435101,1724.29033287616,3759.55748580525,411.269058355089,213.247256258601,1531.35298440861,295.700821816055,1449.80727817613,673.382795826262,358.715709546087,82.69030359545,29.6155870655476,3372.54942684616,1638.40981422577,2.87009603739465,433.481496625058,1326.61074192991,964.53950475403,1.30943818418621,68.9711554515046,3801.93235500108,5.90036933977963,363.935956049155,603.598873540604,2319.89758015124,697.238737855248,1240.27508786919,3492.89075390436,276.950523077899,1125.56666311066,16.5351416695305,44.725751450906,35.3141822858935,5.53314095091832,1486.11643084607,908.552335829736,281.688173549365,5525.15811441806,54.2479914297522,0.977861686713895,60.5879979998256,386.168920596703,39.8651661177004,210.53484401766,213.976550207592,291.631165676065,49.5356289055208
2018-10-09,7928.84180417437,195.998589950336,444.723712593925,1717.56560057794,3750.9105035879,401.110712613718,212.394267233566,1469.79259443538,295.345980829876,1395.29452451671,676.68237152581,358.859195829906,81.2928374646869,29.1713532595644,3373.89844661689,1622.51723902778,2.80925000140189,430.620518747333,1314.67124525254,976.210432761553,1.29084416197077,68.4814602477989,3788.24539852308,5.94816233143184,361.715946717255,605.288950386518,2307.37013321842,683.433410845714,1251.31353615123,3492.19217575358,274.513358474813,1137.04744307439,16.5351416695305,43.8491267224683,35.1693941385213,5.44793058027418,1489.6831102801,888.019053039984,280.364239133683,5513.55528237778,54.1015218528918,0.976883825027181,59.8791184232277,387.057109114076,39.6419211874413,207.418928326198,204.925342133811,293.03099527131,49.1789723774011
2018-10-10,7614.06678454865,192.294216600275,434.183760605449,1671.19132936234,3695.02193708444,392.165943722432,205.958720936389,1417.61495733292,282.43936146761,1361.5283970234,646.705342467217,336.251066492622,79.4474900542385,28.1999471960209,3288.87620576215,1568.97417013986,2.68676670134076,414.644497501807,1302.97067116979,920.17595392104,1.30465619450386,66.3105979579437,3645.0497224589,5.80659606794376,353.975225457506,590.277784416932,2220.61301620941,659.923301512622,1225.91187136736,3375.90217630098,266.305409056416,1093.04370702741,15.9150738569231,42.4854188813995,34.4554554375094,5.305194799071,1439.77872608571,860.668066206352,269.962725861823,5504.73359392598,53.0790030898722,0.929993401425876,57.6516152178836,377.419387097135,37.9650679212125,199.03920362182,202.507223096632,290.657444209613,47.8855654038754
2018-10-11,7442.7502818963,191.467351468894,429.234065734547,1630.58138005883,3613.73145446858,382.283361940627,203.816750238651,1390.82203463933,277.524916578074,1341.92238810626,638.104161412403,333.729183493927,77.2706288267524,28.7780461135393,3196.12989675966,1531.63258489054,2.61099988036295,404.858887360764,1274.04472226982,909.777965641732,1.39454700630517,64.3080178996138,3538.6142705631,5.67072171995388,344.630279505428,572.805561998191,2178.86549150467,645.20701188889,1198.94181019728,3344.50628606138,267.50378339717,1059.26865648027,15.4010169713445,41.376549448595,34.004088971278,5.2155370069667,1412.56690816269,845.262107821258,260.541026729246,5351.15152665544,51.890033420659,0.926366427160315,56.7926061511372,370.135192926161,37.8473762106568,196.411886134012,198.922845247821,284.495506392369,46.6788491556978
2018-10-12,7467.31135782656,193.324584778142,427.087895405875,1636.12535675103,3646.2550375588,381.060055182417,203.470261763245,1400.41870667834,283.130919892951,1350.37649915133,654.758680025267,340.303648408757,76.6524637961383,28.7204900213122,3245.66991015943,1548.17421680735,2.62118277989637,407.935814904706,1280.66975482562,942.348016811707,1.36832952258664,64.6745736016416,3657.86557148108,5.68773388511374,345.388466120339,574.237575903187,2225.27532647372,650.304147282812,1216.32646644514,3423.77108504104,264.240237239725,1064.45907289702,15.4503002256528,41.5337803364997,34.2387171851798,5.19884728854441,1447.88108086676,848.135998987851,256.007612864157,5307.27208413687,52.0041914941845,0.951656230621792,56.934587666515,376.20541009015,38.6421711110805,198.297440240899,196.913724510818,284.353258639173,47.0382762941966
2018-10-15,7475.52540032017,193.034597900975,430.504598569122,1627.94472996728,3654.64142414518,379.993087027906,206.949603239396,1407.00067459973,281.517073649561,1343.48957900566,646.443244788946,339.044524909645,76.7597772454529,29.2288426946895,3222.6256537973,1547.24531227727,2.65945204848286,406.140897319126,1291.42738076616,933.395710651995,1.39733810846547,65.3148518802978,3610.67910560897,5.68830265850225,348.151573849302,571.596083054032,2203.24510074163,650.499238526997,1215.23177262534,3385.08247178007,264.61017357186,1056.47562985029,15.3575984242989,41.7165289699802,34.4749643337575,5.26331299492236,1438.03548951687,850.680406984814,261.434974256877,5404.92589048499,52.0821977814258,0.940521852723517,55.9439258411176,378.011196058582,38.8547030521915,198.971651537718,196.677428041405,285.433801022002,47.3393212624795
2018-10-16,7641.48206420728,198.11140782577,439.631296058787,1654.48022906574,3716.03940007082,385.578985407216,211.047205383536,1445.13039288138,290.553771713712,1373.71809453329,663.509346451374,348.741198322061,78.886023075152,30.0998622069912,3315.11501006128,1591.65125273963,2.71769404834463,413.776346188725,1309.89479231111,965.317843956294,1.38937328124722,66.6276804030918,3702.39035489144,5.80832584459665,352.538283679803,586.972017688186,2270.00342729411,663.834472916801,1230.78673931494,3510.66903148311,264.980627814861,1066.19520564492,15.6540000738879,42.271358805281,35.3954458814689,5.3822638686076,1471.39791287366,874.41439033969,266.715960736866,5377.90126103256,52.7905156712531,0.972123386975027,56.4306379959353,383.41675616222,40.051427906199,202.692421421473,199.037557177902,289.230070575594,47.8600537963668
